ID,DATOP,FLTID,DEPSTN,ARRSTN,STD,STA,STATUS,AC,target
train_id_0,January,TU 0712 ,CMN,TUN,1/3/2016 10:30,2016-01-03 12.55.00,ATA,TU 32AIMN,Severe
train_id_1,January,TU 0757 ,MXP,TUN,1/13/2016 15:05,2016-01-13 16.55.00,ATA,TU 31BIMO,Common
train_id_2,January,TU 0214 ,TUN,IST,1/16/2016 4:10,2016-01-16 06.45.00,ATA,TU 32AIMN,ONTIME
train_id_3,January,TU 0480 ,DJE,NTE,1/17/2016 14:10,2016-01-17 17.00.00,ATA,TU 736IOK,ONTIME
train_id_4,January,TU 0338 ,TUN,ALG,1/17/2016 14:30,2016-01-17 15.50.00,ATA,TU 320IMU,Common
train_id_5,January,TU 0283 ,TLS,TUN,1/17/2016 16:20,2016-01-17 18.15.00,ATA,TU 736IOP,Medium
train_id_6,January,TU 0514 ,TUN,BCN,1/18/2016 7:15,2016-01-18 09.00.00,ATA,TU 32AIMH,Common
train_id_7,January,TU 0716 ,TUN,ORY,1/18/2016 7:35,2016-01-18 09.55.00,ATA,TU 32AIMI,Common
train_id_8,January,TU 0752 ,TUN,FCO,1/18/2016 7:40,2016-01-18 09.00.00,ATA,TU 32AIMC,Common
train_id_9,January,TU 0996 ,TUN,NCE,1/18/2016 7:45,2016-01-18 09.15.00,ATA,TU 31AIMK,Common
train_id_10,January,TU 0930 ,TUN,MRS,1/18/2016 7:55,2016-01-18 09.30.00,ATA,TU 32AIMF,Common
train_id_11,January,TU 0724 ,TUN,ORY,1/20/2016 18:30,2016-01-20 20.50.00,ATA,TU 32AIMP,Common
train_id_12,January,TU 0913 ,TUN,MED,1/20/2016 19:40,2016-01-21 00.00.00,ATA,TU 320IMR,ONTIME
train_id_13,January,TU 0217 ,IST,TUN,1/21/2016 20:10,2016-01-21 23.00.00,ATA,TU 320IMU,ONTIME
train_id_14,January,TU 0744 ,TUN,FRA,1/22/2016 7:05,2016-01-22 09.40.00,ATA,TU 736IOP,Common
train_id_15,January,TU 0706 ,CMN,TUN,1/22/2016 17:45,2016-01-22 20.10.00,ATA,TU 320IMR,ONTIME
train_id_16,January,TU 0723 ,ORY,TUN,1/22/2016 18:30,2016-01-22 21.00.00,ATA,TU 332IFN,Medium
train_id_17,January,TU 0726 ,MIR,BRU,1/23/2016 5:30,2016-01-23 08.15.00,ATA,TU 31AIMJ,Severe
train_id_18,January,TU 0913 ,TUN,MED,1/22/2016 19:40,2016-01-23 00.00.00,ATA,TU 320IMT,Common
train_id_19,January,TU 9038 ,TUN,DJE,1/23/2016 8:50,2016-01-23 09.45.00,ATA,TU 736IOL,Common
train_id_20,January,TU 0717 ,ORY,TUN,1/23/2016 10:55,2016-01-23 13.20.00,ATA,TU 32AIMI,Common
train_id_21,January,TU 0430 ,DJE,LYS,1/24/2016 14:05,2016-01-24 16.25.00,ATA,TU 31AIMJ,ONTIME
train_id_22,January,TU 0789 ,BRU,TUN,1/27/2016 11:35,2016-01-27 14.15.00,ATA,TU 32AIMF,Medium
train_id_23,February,TU 0913 ,TUN,MED,2/1/2016 19:40,2016-02-02 00.00.00,ATA,TU 320IMT,Common
train_id_24,February,TU 0711 ,TUN,CMN,2/2/2016 6:55,2016-02-02 09.40.00,ATA,TU 320IMU,Common
train_id_25,February,TU 0226 ,TUN,BEG,2/2/2016 8:00,2016-02-02 10.05.00,ATA,TU 32AIMN,Common
train_id_26,February,TU 0723 ,ORY,TUN,2/2/2016 18:30,2016-02-02 20.55.00,ATA,TU 320IMR,ONTIME
train_id_27,February,TU 0397 ,TUN,OUA,2/2/2016 18:30,2016-02-02 22.50.00,ATA,TU 31BIMQ,ONTIME
train_id_28,February,TU 0217 ,IST,TUN,2/2/2016 20:10,2016-02-02 23.00.00,ATA,TU 32AIMN,ONTIME
train_id_29,February,TU 0398 ,ABJ,TUN,2/3/2016 1:55,2016-02-03 07.05.00,ATA,TU 31BIMQ,ONTIME
train_id_30,February,TU 0473 ,VCE,TUN,2/3/2016 10:00,2016-02-03 11.45.00,ATA,TU 320IMU,Common
train_id_31,February,TU 0680 ,TUN,MRS,2/4/2016 8:25,2016-02-04 10.00.00,ATA,TU 31AIMK,Medium
train_id_32,February,TU 0700 ,TUN,GVA,2/4/2016 12:40,2016-02-04 14.35.00,ATA,TU 31BIMO,ONTIME
train_id_33,February,TU 0850 ,TUN,LYS,2/4/2016 12:15,2016-02-04 14.05.00,ATA,TU 736IOK,Common
train_id_34,February,TU 0756 ,TUN,MXP,2/4/2016 12:30,2016-02-04 14.15.00,ATA,TU 32AIMN,Common
train_id_35,February,TU 0208 ,TUN,NTE,2/4/2016 12:50,2016-02-04 15.15.00,ATA,TU 736IOR,Common
train_id_36,February,TU 0635 ,MIR,DJE,2/4/2016 15:05,2016-02-04 15.45.00,ATA,TU 31AIMJ,Common
train_id_37,February,TU 0757 ,MXP,TUN,2/4/2016 15:05,2016-02-04 17.00.00,ATA,TU 32AIMN,Common
train_id_38,February,TU 0711 ,TUN,CMN,2/5/2016 6:55,2016-02-05 09.40.00,ATA,TU 320IMV,Severe
train_id_39,February,TU 0847 ,TUN,BEY,2/5/2016 9:30,2016-02-05 12.45.00,ATA,TU 31BIMO,Common
train_id_40,February,TU 0881 ,AMS,TUN,2/5/2016 10:10,2016-02-05 13.00.00,ATA,TU 736IOK,Medium
train_id_41,February,TU 0745 ,FRA,TUN,2/5/2016 10:30,2016-02-05 12.55.00,ATA,TU 32AIMC,Common
train_id_42,February,TU 0902 ,TUN,MRS,2/5/2016 14:05,2016-02-05 15.45.00,ATA,TU 736IOK,Medium
train_id_43,February,TU 0717 ,ORY,TUN,2/5/2016 10:55,2016-02-05 13.15.00,ATA,TU 320IMS,Common
train_id_44,February,TU 0515 ,BCN,TUN,2/5/2016 16:40,2016-02-05 18.15.00,ATA,TU 320IMS,Severe
